pa_name,clip,PA,N,S,R,F,dataset
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_128,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.99,30.59,1.21,0.29,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_129,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.41,32.50,1.57,0.31,1.77,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_130,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.42,37.61,1.58,0.37,0.54,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_131,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.46,32.74,1.23,0.26,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_132,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.67,33.62,1.72,0.08,0.58,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_133,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.13,35.64,1.60,0.13,0.48,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_134,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.95,30.89,1.23,0.26,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_135,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,55.70,34.43,1.57,0.19,2.61,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_136,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.93,34.70,1.54,0.18,0.62,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_137,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.04,34.36,1.40,0.56,0.14,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_138,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.37,32.19,1.10,0.43,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_139,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,36.96,29.78,1.20,0.06,0.35,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_140,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,52.73,43.21,1.30,0.33,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_141,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.93,32.64,1.37,0.24,0.57,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_142,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.52,30.57,1.23,0.11,0.25,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_143,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.44,36.43,1.43,0.29,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_144,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,54.60,35.31,1.26,0.64,1.47,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_145,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.50,35.49,1.21,0.31,0.12,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_146,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.39,36.97,1.51,0.30,0.07,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_147,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,63.04,35.37,1.30,1.75,1.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_148,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.45,35.57,1.29,0.41,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_149,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.88,38.46,1.43,0.08,0.38,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_150,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.60,33.18,1.38,0.81,0.37,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_151,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.88,35.68,1.20,0.36,0.28,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_152,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.31,30.42,1.39,0.05,0.70,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_153,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.31,34.17,1.47,0.30,0.84,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_154,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.70,32.08,1.31,0.26,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_155,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.79,31.23,1.58,0.26,0.67,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_156,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,69.76,36.13,1.55,2.25,1.09,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_157,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.00,32.03,1.20,0.26,0.12,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_158,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.23,34.73,1.60,0.07,1.16,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_159,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.58,34.70,1.58,0.09,0.89,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_160,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.81,32.86,1.23,0.66,0.37,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_161,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.55,32.38,1.16,0.52,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_162,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,33.86,23.09,1.15,0.27,1.23,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_163,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,36.52,30.55,1.35,0.06,0.42,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_164,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.03,32.54,1.49,0.22,1.38,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_165,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.80,32.67,1.29,0.38,1.24,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_166,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.31,29.99,1.22,0.08,0.43,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_167,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,51.75,34.30,1.44,0.31,1.86,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_168,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,36.85,29.59,1.32,0.27,0.37,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_169,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.26,31.18,1.34,1.07,0.30,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_170,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.07,32.32,1.29,0.26,0.71,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_171,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.35,32.55,1.29,0.27,0.68,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_172,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,50.13,34.88,1.32,0.93,0.51,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_173,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.96,35.87,1.27,0.18,0.69,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_174,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.92,30.18,1.25,0.45,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_175,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.96,34.36,1.45,0.45,0.18,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_176,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,57.56,34.21,1.34,1.40,1.02,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_177,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.21,35.11,1.19,0.32,0.07,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_178,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,36.77,30.58,1.40,0.13,0.46,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_179,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,55.55,34.63,1.59,0.79,1.66,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_180,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.71,32.04,1.15,0.26,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_181,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.07,30.33,1.52,0.29,1.71,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_182,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.63,35.76,1.51,0.11,1.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_183,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.27,33.97,1.14,0.68,0.21,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_184,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.57,31.39,1.26,0.41,0.16,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_185,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.28,31.61,1.19,0.53,0.71,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_186,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.33,32.84,1.17,0.28,0.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_187,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.80,35.78,1.54,0.07,0.43,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_188,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.11,36.98,1.54,0.11,0.53,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_189,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.59,32.08,1.22,0.27,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_190,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.61,35.78,1.51,0.08,0.51,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_191,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.16,35.77,1.48,0.10,0.35,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_192,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.94,34.51,1.37,0.28,0.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_193,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.94,33.28,1.57,0.12,0.99,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_194,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.56,30.87,1.31,0.09,0.43,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_195,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.15,34.05,1.17,0.50,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_196,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.63,33.90,1.28,0.48,0.28,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_197,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.51,30.14,1.19,0.24,0.07,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_198,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,35.28,30.91,1.52,0.29,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_199,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,54.81,27.60,1.28,1.75,1.57,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_200,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.49,29.73,1.23,0.43,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_201,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,32.55,28.81,1.56,0.25,0.09,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_202,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,52.74,28.23,1.33,1.46,1.53,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_203,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.42,36.57,1.17,0.33,0.07,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_204,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.19,24.08,1.56,0.17,0.18,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_205,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,52.35,29.98,1.46,0.97,1.83,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_206,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.55,30.01,1.14,0.37,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_207,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,36.00,26.74,1.13,0.63,0.11,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_208,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,35.66,26.00,1.15,0.67,0.21,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_209,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.41,29.70,1.16,0.30,0.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_210,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.23,27.13,1.76,0.53,2.54,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_211,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,47.57,30.82,1.70,0.56,1.61,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_212,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,30.59,24.53,1.16,0.25,0.02,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_213,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.76,29.79,1.72,0.42,1.47,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_214,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.48,33.77,1.63,0.21,1.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_215,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.24,32.34,1.27,0.25,0.01,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_216,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.54,31.16,1.63,0.18,0.64,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_217,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,31.60,28.36,1.62,0.07,0.33,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_218,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,33.80,26.51,1.14,0.33,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_219,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.01,30.09,1.13,0.41,0.09,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_220,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,30.46,24.15,1.24,0.09,0.57,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_221,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,28.73,23.82,1.21,0.01,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_222,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.01,21.73,1.21,0.15,0.30,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_223,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,28.20,22.92,1.20,0.05,0.32,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_224,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.76,21.23,1.21,0.34,0.40,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_225,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,29.10,22.84,1.22,0.04,0.69,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_226,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,15.32,12.31,1.26,0.20,0.26,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_227,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,16.44,13.54,1.26,0.09,0.31,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_228,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,15.22,12.84,1.29,0.19,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_229,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,21.70,18.29,1.26,0.08,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_230,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,18.65,16.20,1.42,0.17,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_231,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,19.54,16.99,1.34,0.06,0.02,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_232,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,19.26,16.39,1.26,0.06,0.01,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_233,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,17.31,14.65,1.43,0.27,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_234,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,15.80,13.73,1.33,0.08,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_235,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,22.43,18.66,1.23,0.01,0.23,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_236,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,17.39,13.52,1.33,0.45,0.12,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_237,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,16.34,14.42,1.38,0.04,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_238,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,15.52,13.55,1.34,0.04,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_239,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,15.85,13.39,1.34,0.07,0.28,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_240,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,17.28,14.68,1.27,0.06,0.12,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_241,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,17.19,14.48,1.31,0.05,0.27,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_242,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,13.19,10.58,1.39,0.21,0.33,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_243,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_244,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_245,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_246,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_247,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_248,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_249,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_250,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_251,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_252,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_253,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_254,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,0.00,0.00,NaN,0.00,0.00,snoop
